1.000000000000000000e+00,1.731784462928772084e-01,5.130000000000000115e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.077053058147430464e+00,2.260000000000000064e-01,9.969999999999999973e-01,1.379000000000000004e+00
3.000000000000000000e+00,4.398563849925994695e+00,1.930000000000000049e-01,9.979999999999999982e-01,1.036999999999999922e+00
4.000000000000000000e+00,4.598717141151428045e+00,1.150000000000000050e-01,9.989999999999999991e-01,1.086999999999999966e+00
5.000000000000000000e+00,4.784668838977813365e+00,1.140000000000000041e-01,9.889999999999999902e-01,1.012000000000000011e+00
6.000000000000000000e+00,7.480679500102996649e+00,1.900000000000000022e-01,9.809999999999999831e-01,1.282000000000000028e+00
7.000000000000000000e+00,9.823697948455810902e+00,1.529999999999999971e-01,9.549999999999999600e-01,9.719999999999999751e-01
8.000000000000000000e+00,7.398580789566040039e+00,1.229999999999999982e-01,9.729999999999999760e-01,1.006999999999999895e+00
9.000000000000000000e+00,5.864478349685668945e+00,1.100000000000000006e-01,9.669999999999999707e-01,1.034000000000000030e+00
1.000000000000000000e+01,6.353977048397064564e+00,1.300000000000000044e-01,9.749999999999999778e-01,1.010999999999999899e+00
